,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
219,220,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,Southampton
221,222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,,Southampton
226,227,1,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,,Southampton
228,229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,,Southampton
232,233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,,Southampton
234,235,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,,Southampton
236,237,0,2,"Hold, Mr. Stephen",male,44.0,1,0,26707,26.0,,Southampton
237,238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921,26.25,,Southampton
238,239,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,,Southampton
239,240,0,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585,12.275,,Southampton
242,243,0,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263,10.5,,Southampton
247,248,1,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,,Southampton
249,250,0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,,Southampton
259,260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50.0,0,1,230433,26.0,,Southampton
265,266,0,2,"Reeves, Mr. David",male,36.0,0,0,C.A. 17248,10.5,,Southampton
272,273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644,19.5,,Southampton
277,278,0,2,"Parkes, Mr. Francis ""Frank""",male,30.0,0,0,239853,0.0,,Southampton
288,289,1,2,"Hosono, Mr. Masabumi",male,42.0,0,0,237798,13.0,,Southampton
292,293,0,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163,12.875,D,Cherbourg
303,304,1,2,"Keane, Miss. Nora A",female,28.0,0,0,226593,12.35,E101,Queenstown
308,309,0,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381,24.0,,Cherbourg
312,313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,250651,26.0,,Southampton
314,315,0,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,,Southampton
316,317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367,26.0,,Southampton
317,318,0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,Southampton
322,323,1,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818,12.35,,Queenstown
323,324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,,Southampton
327,328,1,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551,13.0,D,Southampton
340,341,1,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,F2,Southampton
342,343,0,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740,13.0,,Southampton
343,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361,13.0,,Southampton
344,345,0,2,"Fox, Mr. Stanley Hubert",male,36.0,0,0,229236,13.0,,Southampton
345,346,1,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,Southampton
346,347,1,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418,13.0,,Southampton
357,358,0,2,"Funk, Miss. Annie Clemmer",female,38.0,0,0,237671,13.0,,Southampton
361,362,0,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167,27.7208,,Cherbourg
385,386,0,2,"Davies, Mr. Charles Henry",male,18.0,0,0,S.O.C. 14879,73.5,,Southampton
387,388,1,2,"Buss, Miss. Kate",female,36.0,0,0,27849,13.0,,Southampton
389,390,1,2,"Lehmann, Miss. Bertha",female,17.0,0,0,SC 1748,12.0,,Cherbourg
397,398,0,2,"McKane, Mr. Peter David",male,46.0,0,0,28403,26.0,,Southampton
398,399,0,2,"Pain, Dr. Alfred",male,23.0,0,0,244278,10.5,,Southampton
399,400,1,2,"Trout, Mrs. William H (Jessie L)",female,28.0,0,0,240929,12.65,,Southampton
405,406,0,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,,Southampton
407,408,1,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,,Southampton
413,414,0,2,"Cunningham, Mr. Alfred Fleming",male,30.0,0,0,239853,0.0,,Southampton
416,417,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,1,1,28220,32.5,,Southampton
417,418,1,2,"Silven, Miss. Lyyli Karoliina",female,18.0,0,2,250652,13.0,,Southampton
418,419,0,2,"Matthews, Mr. William John",male,30.0,0,0,28228,13.0,,Southampton
426,427,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1,0,2003,26.0,,Southampton
427,428,1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0,0,0,250655,26.0,,Southampton
432,433,1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,1,0,SC/AH 3085,26.0,,Southampton
437,438,1,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,2,3,29106,18.75,,Southampton
439,440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,Southampton
440,441,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,1,1,F.C.C. 13529,26.25,,Southampton
443,444,1,2,"Reynaldo, Ms. Encarnacion",female,28.0,0,0,230434,13.0,,Southampton
446,447,1,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,250644,19.5,,Southampton
450,451,0,2,"West, Mr. Edwy Arthur",male,36.0,1,2,C.A. 34651,27.75,,Southampton
458,459,1,2,"Toomey, Miss. Ellen",female,50.0,0,0,F.C.C. 13531,10.5,,Southampton
463,464,0,2,"Milling, Mr. Jacob Christian",male,48.0,0,0,234360,13.0,,Southampton
466,467,0,2,"Campbell, Mr. William",male,30.0,0,0,239853,0.0,,Southampton
472,473,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,C.A. 34651,27.75,,Southampton
473,474,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,0,0,SC/AH Basle 541,13.7917,D,Cherbourg
476,477,0,2,"Renouf, Mr. Peter Henry",male,34.0,1,0,31027,21.0,,Southampton
481,482,0,2,"Frost, Mr. Anthony Wood ""Archie""",male,30.0,0,0,239854,0.0,,Southampton
506,507,1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33.0,0,2,26360,26.0,,Southampton
516,517,1,2,"Lemore, Mrs. (Amelia Milley)",female,34.0,0,0,C.A. 34260,10.5,F33,Southampton
518,519,1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,1,0,226875,26.0,,Southampton
526,527,1,2,"Ridsdale, Miss. Lucy",female,50.0,0,0,W./C. 14258,10.5,,Southampton
529,530,0,2,"Hocking, Mr. Richard George",male,23.0,2,1,29104,11.5,,Southampton
530,531,1,2,"Quick, Miss. Phyllis May",female,2.0,1,1,26360,26.0,,Southampton
535,536,1,2,"Hart, Miss. Eva Miriam",female,7.0,0,2,F.C.C. 13529,26.25,,Southampton
543,544,1,2,"Beane, Mr. Edward",male,32.0,1,0,2908,26.0,,Southampton
546,547,1,2,"Beane, Mrs. Edward (Ethel Clarke)",female,19.0,1,0,2908,26.0,,Southampton
547,548,1,2,"Padro y Manent, Mr. Julian",male,30.0,0,0,SC/PARIS 2146,13.8625,,Cherbourg
549,550,1,2,"Davies, Master. John Morgan Jr",male,8.0,1,1,C.A. 33112,36.75,,Southampton
551,552,0,2,"Sharp, Mr. Percival James R",male,27.0,0,0,244358,26.0,,Southampton
562,563,0,2,"Norman, Mr. Robert Douglas",male,28.0,0,0,218629,13.5,,Southampton
570,571,1,2,"Harris, Mr. George",male,62.0,0,0,S.W./PP 752,10.5,,Southampton
576,577,1,2,"Garside, Miss. Ethel",female,34.0,0,0,243880,13.0,,Southampton
580,581,1,2,"Christy, Miss. Julie Rachel",female,25.0,1,1,237789,30.0,,Southampton
582,583,0,2,"Downton, Mr. William James",male,54.0,0,0,28403,26.0,,Southampton
586,587,0,2,"Jarvis, Mr. John Denzil",male,47.0,0,0,237565,15.0,,Southampton
594,595,0,2,"Chapman, Mr. John Henry",male,37.0,1,0,SC/AH 29037,26.0,,Southampton
596,597,1,2,"Leitch, Miss. Jessie Wills",female,28.0,0,0,248727,33.0,,Southampton
600,601,1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,2,1,243847,27.0,,Southampton
608,609,1,2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22.0,1,2,SC/Paris 2123,41.5792,,Cherbourg
615,616,1,2,"Herman, Miss. Alice",female,24.0,1,2,220845,65.0,,Southampton
618,619,1,2,"Becker, Miss. Marion Louise",female,4.0,2,1,230136,39.0,F4,Southampton
619,620,0,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,Southampton
626,627,0,2,"Kirkland, Rev. Charles Leonard",male,57.0,0,0,219533,12.35,,Queenstown
635,636,1,2,"Davis, Miss. Mary",female,28.0,0,0,237668,13.0,,Southampton
637,638,0,2,"Collyer, Mr. Harvey",male,31.0,1,1,C.A. 31921,26.25,,Southampton
651,652,1,2,"Doling, Miss. Elsie",female,18.0,0,1,231919,23.0,,Southampton
655,656,0,2,"Hickman, Mr. Leonard Mark",male,24.0,2,0,S.O.C. 14879,73.5,,Southampton
658,659,0,2,"Eitemiller, Mr. George Floyd",male,23.0,0,0,29751,13.0,,Southampton
665,666,0,2,"Hickman, Mr. Lewis",male,32.0,2,0,S.O.C. 14879,73.5,,Southampton
666,667,0,2,"Butler, Mr. Reginald Fenton",male,25.0,0,0,234686,13.0,,Southampton
670,671,1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40.0,1,1,29750,39.0,,Southampton
672,673,0,2,"Mitchell, Mr. Henry Michael",male,70.0,0,0,C.A. 24580,10.5,,Southampton
673,674,1,2,"Wilhelms, Mr. Charles",male,31.0,0,0,244270,13.0,,Southampton
674,675,0,2,"Watson, Mr. Ennis Hastings",male,30.0,0,0,239856,0.0,,Southampton
684,685,0,2,"Brown, Mr. Thomas William Solomon",male,60.0,1,1,29750,39.0,,Southampton
685,686,0,2,"Laroche, Mr. Joseph Philippe Lemercier",male,25.0,1,2,SC/Paris 2123,41.5792,,Cherbourg
695,696,0,2,"Chapman, Mr. Charles Henry",male,52.0,0,0,248731,13.5,,Southampton
705,706,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,0,0,250655,26.0,,Southampton
706,707,1,2,"Kelly, Mrs. Florence ""Fannie""",female,45.0,0,0,223596,13.5,,Southampton
714,715,0,2,"Greenberg, Mr. Samuel",male,52.0,0,0,250647,13.0,,Southampton
717,718,1,2,"Troutt, Miss. Edwina Celia ""Winnie""",female,27.0,0,0,34218,10.5,E101,Southampton
720,721,1,2,"Harper, Miss. Annie Jessie ""Nina""",female,6.0,0,1,248727,33.0,,Southampton
722,723,0,2,"Gillespie, Mr. William Henry",male,34.0,0,0,12233,13.0,,Southampton
723,724,0,2,"Hodges, Mr. Henry Price",male,50.0,0,0,250643,13.0,,Southampton
726,727,1,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30.0,3,0,31027,21.0,,Southampton
728,729,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,1,0,236853,26.0,,Southampton
732,733,0,2,"Knight, Mr. Robert J",male,30.0,0,0,239855,0.0,,Southampton
733,734,0,2,"Berriman, Mr. William John",male,23.0,0,0,28425,13.0,,Southampton
734,735,0,2,"Troupiansky, Mr. Moses Aaron",male,23.0,0,0,233639,13.0,,Southampton
747,748,1,2,"Sinkkonen, Miss. Anna",female,30.0,0,0,250648,13.0,,Southampton
750,751,1,2,"Wells, Miss. Joan",female,4.0,1,1,29103,23.0,,Southampton
754,755,1,2,"Herman, Mrs. Samuel (Jane Laver)",female,48.0,1,2,220845,65.0,,Southampton
755,756,1,2,"Hamalainen, Master. Viljo",male,0.67,1,1,250649,14.5,,Southampton
757,758,0,2,"Bailey, Mr. Percy Andrew",male,18.0,0,0,29108,11.5,,Southampton
772,773,0,2,"Mack, Mrs. (Mary)",female,57.0,0,0,S.O./P.P. 3,10.5,E77,Southampton
774,775,1,2,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54.0,1,3,29105,23.0,,Southampton
791,792,0,2,"Gaskell, Mr. Alfred",male,16.0,0,0,239865,26.0,,Southampton
795,796,0,2,"Otter, Mr. Richard",male,39.0,0,0,28213,13.0,,Southampton
800,801,0,2,"Ponesell, Mr. Martin",male,34.0,0,0,250647,13.0,,Southampton
801,802,1,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31.0,1,1,C.A. 31921,26.25,,Southampton
808,809,0,2,"Meyer, Mr. August",male,39.0,0,0,248723,13.0,,Southampton
812,813,0,2,"Slemen, Mr. Richard James",male,35.0,0,0,28206,10.5,,Southampton
817,818,0,2,"Mallet, Mr. Albert",male,31.0,1,1,S.C./PARIS 2079,37.0042,,Cherbourg
827,828,1,2,"Mallet, Master. Andre",male,1.0,0,2,S.C./PARIS 2079,37.0042,,Cherbourg
831,832,1,2,"Richards, Master. George Sibley",male,0.83,1,1,29106,18.75,,Southampton
841,842,0,2,"Mudd, Mr. Thomas Charles",male,16.0,0,0,S.O./P.P. 3,10.5,,Southampton
848,849,0,2,"Harper, Rev. John",male,28.0,0,1,248727,33.0,,Southampton
854,855,0,2,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,1,0,244252,26.0,,Southampton
861,862,0,2,"Giles, Mr. Frederick Edward",male,21.0,1,0,28134,11.5,,Southampton
864,865,0,2,"Gill, Mr. John William",male,24.0,0,0,233866,13.0,,Southampton
865,866,1,2,"Bystrom, Mrs. (Karolina)",female,42.0,0,0,236852,13.0,,Southampton
866,867,1,2,"Duran y More, Miss. Asuncion",female,27.0,1,0,SC/PARIS 2149,13.8583,,Cherbourg
874,875,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28.0,1,0,P/PP 3381,24.0,,Cherbourg
880,881,1,2,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25.0,0,1,230433,26.0,,Southampton
883,884,0,2,"Banfield, Mr. Frederick James",male,28.0,0,0,C.A./SOTON 34068,10.5,,Southampton
886,887,0,2,"Montvila, Rev. Juozas",male,27.0,0,0,211536,13.0,,Southampton
